experiment,plantID,soilType,spp,leafRep,petioleLength_mm,thickness_mm,toughness_g,area_wholeLeaf_cm2,perimeter_wholeLeaf_cm,majorAxisLength_largestLeaflet_cm,minorAxisLength_largestLeaflet_cm,elongationRatio_largestLeaflet_dimless,shapeFactor_largestLeaflet_dimless,feretDiameterRatio_largestLeaflet_dimless,area_largestLeaflet_cm2,perimeter_largestLeaflet_cm,SDMC_mg_g,LDMC_mg_g,SLA_cm2_g,leafDens_g_cm3
phase1,21,vertisol,TABROS,a,156,0.253,145.93,386.2,403.77,18.25,9.36,2.02,1.76,0.29,247.55,185.86,336.1430127,336.8585732,71.74438046,0.55092387
phase1,21,vertisol,TABROS,b,155,0.259,185.55,557.97,658.15,18.36,9.95,1.85,1.46,0.29,283.07,343.41,NA,214.5004421,114.997939,0.335745483
phase1,21,vertisol,TABROS,c,149,0.286,142.35,586.81,407.17,19.59,11,1.79,1.59,0.51,334.52,131.89,NA,227.9004416,103.3662145,0.338263669
phase1,22,vertisol,TABROS,a,88,0.288,207.07,186.15,220.41,18.71,17.75,1.05,1.53,0.07,123.78,92.93,314.5326002,289.083558,86.78321678,0.400102964
phase1,22,vertisol,TABROS,b,113,0.25,185.49,219.45,232.94,20.39,19.66,1.04,1.51,0.09,141.54,171.7,NA,302.6255708,82.78008299,0.48320802
phase1,22,vertisol,TABROS,c,82.16,0.26,59.59,154.58,183.81,18.3,14.99,1.22,1.91,0.08,167.26,65.95,NA,351.6634051,86.02114636,0.447117251
phase1,25,vertisol,TABROS,a,93,0.25,99.13,147.94,182.28,20.44,16.55,1.24,1.89,0.06,147.8,173.64,347.3200613,212.1031746,138.3910196,0.289036096
phase1,25,vertisol,TABROS,b,101,0.25,289.8,72.36,215.68,15.66,13.79,1.14,2.55,0.02,72.09,195.62,NA,318.3453237,81.76271186,0.489220564
phase1,25,vertisol,TABROS,c,66,0.281,286.19,94.1,130.47,15.29,11.72,1.3,1.68,0.08,93.95,121.26,NA,346.8965517,93.5387674,0.380453897
phase1,67,vertisol,LYSDIV,a,13.1,0.112,NA,8.36,73.45,3.25,0.49,6.64,2.63,0.21,1.12,8.1,618.2014001,378.4615385,67.96747967,1.313653452
phase1,67,vertisol,LYSDIV,b,12.06,0.09,NA,9.45,100.61,3.15,0.42,7.54,2.97,0.17,0.9,8.25,NA,343.4065934,75.6,1.469723692
phase1,67,vertisol,LYSDIV,c,13.94,0.06,NA,9.8,90.42,3.15,0.43,7.4,2.87,0.23,0.94,7.12,NA,360.9756098,66.21621622,2.517006803
phase1,68,vertisol,LYSDIV,a,14.72,0.073,NA,11.28,105.36,3.79,0.47,8.12,3.26,0.19,1.1,8.56,578.4810127,352.5835866,97.24137931,1.408724376
phase1,68,vertisol,LYSDIV,b,12.28,0.055,NA,9.04,102.03,3.45,0.37,9.32,3.28,0.16,0.89,8.31,NA,304.2168675,89.5049505,2.031375704
phase1,68,vertisol,LYSDIV,c,22.38,0.064,NA,5.56,65.13,3.6,0.4,8.9,3.31,0.14,0.9,8.84,NA,246.0732984,118.2978723,1.320818345
phase1,70,vertisol,LYSDIV,a,14.22,0.098,NA,5.52,75.02,2.86,0.34,8.38,3.22,0.19,0.6,6.26,558.4415584,464.8648649,64.18604651,1.589766341
phase1,70,vertisol,LYSDIV,b,9.51,0.137,NA,6.58,68.81,3.69,0.39,9.49,3.11,0.23,1.02,7.54,NA,469.1943128,66.46464646,1.098218446
