experiment,plantID,soilType,spp,imageID,Mean_Dia_C_mm,SRL_m_g,SRL_kimura_m_g,RTD_g_cm3,RDMC_lessThan2mm_mg_g
phase1,21,vertisol,TABROS,a,1.291,34.39383774,42.95919245,0.287953274,204.0030793
phase1,21,vertisol,TABROS,b,0.9461,62.33940449,78.58379775,0.249194597,198.6607143
phase1,22,vertisol,TABROS,a,0.9238,67.92148073,84.77802721,0.302430844,188.0597015
phase1,22,vertisol,TABROS,b,0.9617,61.58891374,76.42709265,0.308811619,190.1579587
phase1,25,vertisol,TABROS,a,0.9656,55.48730263,68.75464693,0.335184,214.084507
phase1,67,vertisol,LYSDIV,a,0.6079,51.94385606,64.05431566,0.676541669,449.4892168
phase1,67,vertisol,LYSDIV,b,0.7184,40.01916732,50.4299252,0.677536142,490.3474903
phase1,67,vertisol,LYSDIV,c,0.4971,78.86378363,98.07826901,0.633355383,487.1794872
phase1,68,vertisol,LYSDIV,a,0.7413,35.66111943,45.21390283,0.651858913,418.2895851
phase1,68,vertisol,LYSDIV,b,0.7575,36.6995449,45.02758163,0.695121439,427.9475983
phase1,70,vertisol,LYSDIV,a,0.9968,21.68982008,26.93162405,0.818784974,528.5285285
phase1,70,vertisol,LYSDIV,b,0.622,49.11532156,61.01597955,0.792837231,439.1836735
phase1,70,vertisol,LYSDIV,c,0.7348,41.0157536,50.28045821,0.759962295,386.4142539
phase1,70,vertisol,LYSDIV,d,0.452,93.6329576,116.5015336,0.759171489,445.6692913
phase1,78,vertisol,SPOPUR,a,0.607,143.1540152,176.2993636,0.279796647,204.6511628
phase1,104,vertisol,CORALL,a,0.9757,28.93988612,35.49727925,0.55926894,354.1436464
phase1,104,vertisol,CORALL,b,0.6236,69.09552444,85.68233778,0.469177636,372.5165563
phase1,105,vertisol,CORALL,a,0.8156,52.07609942,65.87136744,0.467814024,281.0854597
phase1,105,vertisol,CORALL,b,0.732,54.82918782,68.10153638,0.531012095,324.0131579
phase1,110,vertisol,CORALL,a,0.7184,46.73885233,58.2186943,0.620258776,385.2295409
phase1,110,vertisol,CORALL,b,0.717,50.39629139,61.65762914,0.588324792,355.7126031
