experiment,harvestDate,plantID,soilType,spp,height_cm_sept2014_intial,diamB_mm_sept2014_intial,diamT_mm_sept2014_intial,growingDays,height_cm_harvest,diamB_mm_harvest,diamT_mm_harvest,crownRadius_cm,rootLateral_cm,rootDepth_cm,totalLeaf_g,totalStem_g,totalRoot_g,SMF,LMF,RMF,area_allLeaves_cm2,perimeter_allLeaves_cm,d13C,C_ug,d15N,N_ug,lwpDelta_mean
phase1,20160813,21,vertisol,TABROS,23.5,7.74,2.7,701,123,31.09,6.88,48,60,56,70.052,95.71,44.954,0.454213254,0.332447465,0.213339281,3452.05111,4065.351129,-28.34,859.24,4.79,38.21,-0.726
phase1,20160813,22,vertisol,TABROS,18.2,4.1,2.15,701,90,24.93,5.94,33,25,60,26.673,40.04,22.444,0.449095416,0.299168882,0.251735702,5724.030454,7593.161333,-28.75,986.02,3.58,56.96,-0.73
phase1,20160813,25,vertisol,TABROS,18.9,5.21,2.04,701,74,17.23,4.27,32,25,50,10.92,22.68,16.156,0.455824423,0.219471019,0.324704558,1098.35,2193.08,-28.85,958.21,3.12,40.03,-0.753
phase1,20160819,67,vertisol,LYSDIV,51,3.44,0.76,707,78,11.16,1.19,50,30,50,9.766,22.96,9.485,0.543934046,0.231361493,0.224704461,424.8,6872.06,-29.74,950.17,-0.04,53.80,-1.998
phase1,20160819,68,vertisol,LYSDIV,56.4,4.44,0.77,707,95,9.63,1,37,55,50,8.144,22.85,7.074,0.600241673,0.213932962,0.185825365,380.72,7028.78,-29.51,962.73,1.73,55.89,-1.9435
phase1,20160819,70,vertisol,LYSDIV,52.4,4.34,0.66,707,111,8.26,0.94,43,47,50,17.028,30.1,15.391,0.481453638,0.272365201,0.246181161,671.13,11835.18,-29.18,950.47,4.42,38.65,-1.4885
phase1,20160818,78,vertisol,SPOPUR,43.3,4.61,1.51,706,50,3.73,2.75,15,25,15,1.541,1.01,4.862,0.136247133,0.207878052,0.655874815,291.705235,1330.417492,-29.85,1007.64,0.18,54.64,-1.562
phase1,20160814,104,vertisol,CORALL,18.9,3.59,1.43,702,110,13.72,2.63,35,20,50,33.436,37.24,31.556,0.364269505,0.32706002,0.308670475,3465.91,7278.74,-30.35,924.09,-1.22,46.60,-1.121
phase1,20160814,105,vertisol,CORALL,19.8,2.96,1.57,702,104,15.4,2.07,42,50,50,43.511,46.44,30.265,0.386304652,0.361940174,0.251755174,4887.98,9159.75,-30.75,835.11,2.13,43.77,-1.5165
phase1,20160814,110,vertisol,CORALL,36,3.39,1.58,702,97,13.23,2.72,45,30,50,41.061,51.39,31.238,0.415477528,0.331969698,0.252552773,4616.47,9757.57,-29.23,856.74,2.66,39.32,-1.018
phase1,20160814,115,vertisol,THODEC,18.1,3,1.11,702,39,7.5,2.78,21,18,50,8.242,6.28,6.045,0.305343511,0.400739048,0.293917441,1270.398022,3738.475408,-27.97,993.99,3.10,60.54,-2.4335
phase1,20160814,116,vertisol,THODEC,24,4.25,1.38,702,38,7.09,2.12,18,10,26,5.684,4.54,6.032,0.279281496,0.349655512,0.371062992,947.673166,2547.803341,-29.74,959.66,1.90,39.48,-2.441
phase1,20160814,118,vertisol,THODEC,18,4.03,1.66,702,43,10.42,2.07,23,25,50,9.937,4.04,11.413,0.159117763,0.391374557,0.44950768,1503.350273,3523.240596,-30.02,1007.22,1.74,38.70,-1.991
